Country and Currency,currency_code,Font: Code2000,symbol1,Unicode: Decimal,Unicode: Hex,symbol
Taiwan New Dollar,TWD,NT$,NT$,"78, 84, 36","4e, 54, 24",&#78;&#84;&#36;
Ukraine Hryvnia,UAH,?,?,8372,20b4,&#8372;
United States Dollar,USD,$,$,36,24,&#36;
Uruguay Peso,UYU,$U,$U,"36, 85","24, 55",&#36;&#85;
Uzbekistan Som,UZS,??,??,"1083, 1074","43b, 432",&#1083;&#1074;
Venezuela Bolivar,VEF,Bs,Bs,"66, 115","42, 73",&#66;&#115;
Viet Nam Dong,VND,?,?,8363,20ab,&#8363;
East Caribbean Dollar,XCD,$,$,36,24,&#36;
Yemen Rial,YER,?,?,65020,fdfc,&#65020;
South Africa Rand,ZAR,R,R,82,52,&#82;
Zimbabwe Dollar,ZWD,Z$,Z$,"90, 36","5a, 24",&#90;&#36;
